Time,channel,V RMS,C RMS,V MOM,C MOM,V FUND,C FUND,V PERIOD,C PHASE SH,V SAG TIME,V SWELL TIME,C SWELL TIME,EN_ACT,EN_REACT,EN_APP,POW_ACT,POW_REACT,POW_APP,AHACC
64,1,35,9,52,21,5,0,8,11944,0,0,0,0,0,0,0,-2,0,0
64,2,35,834,11,54,20,8,438,8736,0,0,0,0,0,0,-7,-3,37,0
65,1,35,9,-117,20,3,1,58,9008,0,0,0,0,0,0,-2,0,0,0
65,2,35,836,-50,116,-26,203,100,14800,0,0,0,0,0,0,-4,-2,37,0
66,1,35,9,63,21,14,2,27,18856,0,0,0,0,0,0,0,-2,0,0
66,2,35,836,55,128,6,-68,421,11976,0,0,0,0,0,0,0,-4,37,0
67,1,35,9,-62,7,14,3,844,8376,0,0,0,0,0,0,0,-2,0,0
67,2,35,836,73,119,10,166,151,15792,0,0,0,0,0,0,1,-3,37,0
68,1,35,9,-62,17,-30,0,113,9448,0,0,0,0,0,0,0,-2,0,0
68,2,35,836,-62,121,-27,-183,439,12200,0,0,0,0,0,0,-2,-3,32,0
69,1,35,9,21,21,0,2,432,11296,0,0,0,0,0,0,-2,-2,0,0
69,2,35,836,15,-4,-37,-24,302,9304,0,0,0,0,0,0,-2,-2,39,0
70,1,35,11,23,22,12,1,129,13176,0,0,0,0,0,0,-2,-2,0,0
70,2,35,838,14,-140,-35,90,103,12424,0,0,0,0,0,0,-4,-2,41,0
71,1,35,11,35,13,2,3,237,10248,0,0,0,0,0,0,0,-2,0,0
71,2,35,836,28,188,-36,142,104,14384,0,0,0,0,0,0,-2,-5,37,0
72,1,35,9,19,19,15,1,5,12680,0,0,0,0,0,0,0,-2,0,0
72,2,35,836,-53,-34,18,155,69,10264,0,0,0,0,0,0,4,0,37,0
73,1,35,9,-41,16,14,23,137,10856,0,0,0,0,0,0,-2,-2,0,0
73,2,35,836,-93,-247,-37,118,141,10088,0,0,0,0,0,0,0,1,37,0
74,1,35,9,17,15,-30,18,14,12960,0,0,0,0,0,0,-2,-2,0,0
74,2,35,836,20,-19,18,0,228,10728,0,0,0,0,0,0,0,0,37,0
75,1,35,11,-105,8,0,23,3,14024,0,0,0,0,0,0,0,-2,0,0
75,2,35,836,24,-206,16,-96,152,13776,0,0,0,0,0,0,2,0,37,0
76,1,35,9,-25,7,-28,1,160,8528,0,0,0,0,0,0,-2,0,0,0
76,2,35,838,-101,-63,10,145,184,10192,0,0,0,0,0,0,1,-2,37,0
77,1,35,421,56,60,28,-193,44,14096,0,0,0,0,0,0,0,0,17,0
77,2,35,836,-32,-198,-29,-15,200,14152,0,0,0,0,0,0,1,-3,37,0
78,1,35,421,-91,69,6,-91,65,10792,0,0,0,0,0,0,-2,-2,17,0
78,2,35,838,-75,124,-30,-230,187,17320,0,0,0,0,0,0,-3,-4,37,0
79,1,35,421,54,28,-25,-4,11,13952,0,0,0,0,0,0,-3,-2,17,0
79,2,35,836,55,-25,-28,3,332,11808,0,0,0,0,0,0,4,-3,37,0
80,1,35,421,37,-65,-27,46,8,10400,0,0,0,0,0,0,0,-3,17,0
80,2,35,836,66,-45,-34,-195,137,10208,0,0,0,0,0,0,-5,-3,37,0
81,1,35,423,13,-168,-29,79,43,12240,0,0,0,0,0,0,0,-2,17,0
81,2,35,836,-42,-99,9,47,100,12200,0,0,0,0,0,0,-2,-4,37,0
82,1,35,421,-60,216,7,81,175,12192,0,0,0,0,0,0,-3,0,17,0
82,2,35,836,-77,-100,1,-195,85,10536,0,0,0,0,0,0,-3,0,37,0
83,1,35,423,-143,110,-25,59,128,12312,0,0,0,0,0,0,-2,0,17,0
83,2,35,834,-78,-76,10,147,42,9784,0,0,0,0,0,0,1,-2,37,0
84,1,35,421,-145,-22,17,1,20,13800,0,0,0,0,0,0,1,-2,16,0
84,2,35,834,-66,68,8,-2,305,12184,0,0,0,0,0,0,-3,-2,37,0
85,1,35,421,26,-109,12,-63,477,14216,0,0,0,0,0,0,1,-2,17,0
85,2,35,834,-64,237,8,-81,318,13552,0,0,0,0,0,0,-2,-5,37,0
86,1,35,421,-95,-243,-25,-163,167,15304,0,0,0,0,0,0,-3,-2,17,0
86,2,35,836,35,-72,12,-128,37,11112,0,0,0,0,0,0,-3,-4,37,0
87,1,35,423,15,140,9,233,41,12192,0,0,0,0,0,0,0,-3,20,0
87,2,35,836,26,177,-39,-114,100,11128,0,0,0,0,0,0,-4,-3,37,0
88,1,35,421,-46,68,6,127,247,12336,0,0,0,0,0,0,-3,-2,17,0
88,2,35,836,-74,-118,7,-55,242,9072,0,0,0,0,0,0,-2,-2,37,0
89,1,35,423,76,-28,6,-1,58,10784,0,0,0,0,0,0,0,-2,20,0
89,2,35,834,0,163,-36,87,39,10328,0,0,0,0,0,0,-2,-3,37,0
90,1,35,421,34,-42,20,-87,148,10792,0,0,0,0,0,0,1,-2,17,0
90,2,35,836,31,-190,7,186,612,11776,0,0,0,0,0,0,-4,-3,31,0
91,1,35,421,88,-35,-25,-242,237,12368,0,0,0,0,0,0,-3,-2,17,0
91,2,35,836,29,99,-37,-101,201,12000,0,0,0,0,0,0,-3,0,39,0
92,1,35,421,-45,-50,5,178,213,13560,0,0,0,0,0,0,-2,-2,17,0
92,2,35,832,6,-232,6,89,229,11720,0,0,0,0,0,0,-2,-3,31,0
93,1,35,423,81,-45,-25,64,49,8400,0,0,0,0,0,0,-2,-2,16,0
93,2,35,832,-52,-40,12,-129,554,9832,0,0,0,0,0,0,-2,0,35,0
94,1,35,421,-76,18,22,23,222,15304,0,0,0,0,0,0,-3,-2,17,0
94,2,35,834,-38,70,11,10,114,11056,0,0,0,0,0,0,-3,0,35,0
95,1,35,423,-96,102,11,-22,95,12640,0,0,0,0,0,0,0,-2,20,0
95,2,35,836,77,93,-32,211,2,14112,0,0,0,0,0,0,-2,-2,41,0
96,1,35,423,-39,190,-37,-50,10,10864,0,0,0,0,0,0,0,-2,17,0
96,2,35,836,26,107,3,-58,6,9360,0,0,0,0,0,0,-4,-2,35,0
97,1,35,423,0,-226,11,-58,536,10056,0,0,0,0,0,0,-2,-3,17,0
97,2,35,834,-38,135,5,157,636,12904,0,0,0,0,0,0,0,-3,35,0
98,1,35,421,-66,-144,7,-46,87,11872,0,0,0,0,0,0,-2,-2,17,0
98,2,35,836,-39,115,-38,-201,375,12672,0,0,0,0,0,0,0,-5,35,0
99,1,35,423,-27,-13,25,-8,234,8416,0,0,0,0,0,0,-2,-2,17,0
99,2,35,834,-59,56,4,-47,97,12752,0,0,0,0,0,0,-2,-4,35,0
100,1,35,423,68,43,24,30,418,12880,0,0,0,0,0,0,-4,-2,16,0
100,2,35,834,-77,-31,-25,39,277,13816,0,0,0,0,0,0,-4,0,35,0
101,1,35,421,-46,172,1,103,58,13704,0,0,0,0,0,0,-4,-2,17,0
101,2,35,836,-57,-231,26,117,12,9632,0,0,0,0,0,0,2,-2,37,0
102,1,35,421,85,-223,9,186,161,9136,0,0,0,0,0,0,-2,0,17,0
102,2,35,836,18,94,31,152,176,13272,0,0,0,0,0,0,-3,0,37,0
103,1,35,421,8,-175,-27,-252,77,17400,0,0,0,0,0,0,-2,-2,17,0
103,2,35,836,13,-62,14,150,116,11872,0,0,0,0,0,0,1,-2,37,0
104,1,35,421,-57,-63,4,-150,678,13384,0,0,0,0,0,0,-3,0,17,0
104,2,35,834,-51,-254,21,109,435,13864,0,0,0,0,0,0,2,0,35,0
105,1,35,421,1,-10,-32,-70,351,16376,0,0,0,0,0,0,-2,-2,17,0
105,2,35,834,32,97,3,58,452,10688,0,0,0,0,0,0,-3,-3,37,0
106,1,35,421,50,58,-26,33,136,11280,0,0,0,0,0,0,-3,-2,17,0
106,2,35,834,53,-141,-29,-68,175,14328,0,0,0,0,0,0,-2,0,37,0
107,1,35,421,-45,63,-28,115,442,9144,0,0,0,0,0,0,-4,-2,17,0
107,2,35,834,10,205,-29,-164,14,13240,0,0,0,0,0,0,2,0,35,0
108,1,35,421,-51,71,-29,219,76,13624,0,0,0,0,0,0,-2,-2,17,0
108,2,35,836,92,33,12,197,188,13104,0,0,0,0,0,0,1,0,35,0
109,1,35,421,-62,49,21,-227,240,10536,0,0,0,0,0,0,0,-2,17,0
